exposicion,modelo,muestra,categoria,referencia,n,prevalencia_ajustada,diferencia_vs_ref,razon_vs_ref
clase_social,M3_actividad,disponible,5,1,19992,0.30167933,0.06926673,1.29803348
clase_social,M3_actividad,disponible,6,1,19992,0.31767462,0.08526203,1.36685632
clase_social,M3_actividad,comun_M0_M4,1,1,19360,0.23075797,0.00000000,1.00000000
clase_social,M3_actividad,comun_M0_M4,2,1,19360,0.25279963,0.02204166,1.09551851
clase_social,M3_actividad,comun_M0_M4,3,1,19360,0.27526885,0.04451087,1.19288985
clase_social,M3_actividad,comun_M0_M4,4,1,19360,0.29821448,0.06745650,1.29232577
clase_social,M3_actividad,comun_M0_M4,5,1,19360,0.30203594,0.07127796,1.30888623
clase_social,M3_actividad,comun_M0_M4,6,1,19360,0.31759477,0.08683680,1.37631114
clase_social,M4_apoyo,disponible,1,1,19360,0.22938245,0.00000000,1.00000000
clase_social,M4_apoyo,disponible,2,1,19360,0.24908858,0.01970613,1.08590949
clase_social,M4_apoyo,disponible,3,1,19360,0.27322880,0.04384635,1.19114952
clase_social,M4_apoyo,disponible,4,1,19360,0.30033113,0.07094868,1.30930299
clase_social,M4_apoyo,disponible,5,1,19360,0.30364786,0.07426541,1.32376238
clase_social,M4_apoyo,disponible,6,1,19360,0.31859954,0.08921709,1.38894469
clase_social,M4_apoyo,comun_M0_M4,1,1,19360,0.22938245,0.00000000,1.00000000
clase_social,M4_apoyo,comun_M0_M4,2,1,19360,0.24908858,0.01970613,1.08590949
clase_social,M4_apoyo,comun_M0_M4,3,1,19360,0.27322880,0.04384635,1.19114952
clase_social,M4_apoyo,comun_M0_M4,4,1,19360,0.30033113,0.07094868,1.30930299
clase_social,M4_apoyo,comun_M0_M4,5,1,19360,0.30364786,0.07426541,1.32376238
clase_social,M4_apoyo,comun_M0_M4,6,1,19360,0.31859954,0.08921709,1.38894469
ingresos,M0_bruto,disponible,5,5,20030,0.22981532,0.00000000,1.00000000
ingresos,M0_bruto,disponible,4,5,20030,0.30229624,0.07248093,1.31538770
ingresos,M0_bruto,disponible,3,5,20030,0.33788764,0.10807232,1.47025726
ingresos,M0_bruto,disponible,2,5,20030,0.31473673,0.08492141,1.36952024
ingresos,M0_bruto,disponible,1,5,20030,0.34921234,0.11939702,1.51953464
ingresos,M0_bruto,comun_M0_M4,5,5,19165,0.22798678,0.00000000,1.00000000
ingresos,M0_bruto,comun_M0_M4,4,5,19165,0.29760654,0.06961976,1.30536752
ingresos,M0_bruto,comun_M0_M4,3,5,19165,0.33587118,0.10788439,1.47320460
ingresos,M0_bruto,comun_M0_M4,2,5,19165,0.31251725,0.08453047,1.37076916
ingresos,M0_bruto,comun_M0_M4,1,5,19165,0.34212035,0.11413356,1.50061483
ingresos,M1_edad_sexo,disponible,5,5,20030,0.24866962,0.00000000,1.00000000
ingresos,M1_edad_sexo,disponible,4,5,20030,0.30497553,0.05630591,1.22642859
ingresos,M1_edad_sexo,disponible,3,5,20030,0.31835968,0.06969006,1.28025162
ingresos,M1_edad_sexo,disponible,2,5,20030,0.29668258,0.04801296,1.19307933
ingresos,M1_edad_sexo,disponible,1,5,20030,0.33748521,0.08881560,1.35716304
ingresos,M1_edad_sexo,comun_M0_M4,5,5,19165,0.24674504,0.00000000,1.00000000
ingresos,M1_edad_sexo,comun_M0_M4,4,5,19165,0.30127972,0.05453467,1.22101629
ingresos,M1_edad_sexo,comun_M0_M4,3,5,19165,0.31536266,0.06861762,1.27809119
ingresos,M1_edad_sexo,comun_M0_M4,2,5,19165,0.29398706,0.04724201,1.19146084
ingresos,M1_edad_sexo,comun_M0_M4,1,5,19165,0.33004939,0.08330435,1.33761306
ingresos,M2_principal,disponible,5,5,20030,0.24711967,0.00000000,1.00000000
ingresos,M2_principal,disponible,4,5,20030,0.30217135,0.05505167,1.22277334
ingresos,M2_principal,disponible,3,5,20030,0.32087014,0.07375047,1.29844031
ingresos,M2_principal,disponible,2,5,20030,0.29949239,0.05237272,1.21193262
ingresos,M2_principal,disponible,1,5,20030,0.34297520,0.09585553,1.38789111
ingresos,M2_principal,comun_M0_M4,5,5,19165,0.24561064,0.00000000,1.00000000
ingresos,M2_principal,comun_M0_M4,4,5,19165,0.29845743,0.05284679,1.21516492
ingresos,M2_principal,comun_M0_M4,3,5,19165,0.31804713,0.07243649,1.29492407
ingresos,M2_principal,comun_M0_M4,2,5,19165,0.29590308,0.05029244,1.20476491
ingresos,M2_principal,comun_M0_M4,1,5,19165,0.33512716,0.08951652,1.36446515
